tau_r,team_accuracy,deferral_rate
0.15,0.9995852343425964,0.9921194525093322
0.15436241610738255,0.9995852343425964,0.9892160929075072
0.1587248322147651,0.9995852343425964,0.9854832019908751
0.16308724832214766,0.9991704686851929,0.9821650767316467
0.1674496644295302,0.9991704686851929,0.9763583575279967
0.17181208053691274,0.9987557030277893,0.9688925756947325
0.1761744966442953,0.9983409373703858,0.956864371630029
0.18053691275167785,0.9975114060555786,0.9419328079635007
0.1848993288590604,0.9962671090833679,0.9216092907507258
0.18926174496644294,0.9946080464537537,0.9021153048527581
0.19362416107382552,0.9933637494815429,0.8817917876399834
0.19798657718120805,0.9908751555371216,0.8535877229365408
0.2023489932885906,0.9879717959352966,0.8245541269182912
0.20671140939597316,0.9850684363334716,0.8000829531314807
0.2110738255033557,0.9842389050186644,0.7702198257984239
0.21543624161073827,0.981750311074243,0.7395271671505599
0.2197986577181208,0.9788469514724181,0.7046868519286603
0.22416107382550338,0.972210700953961,0.6594773952716715
0.2285234899328859,0.9680630443799253,0.6180008295313149
0.23288590604026846,0.959767731231854,0.5636665284114475
0.23724832214765101,0.9498133554541683,0.5080879303193696
0.24161073825503354,0.9452509332227291,0.4699294898382414
0.24597315436241612,0.9394442140190792,0.42928245541269183
0.25033557046979865,0.9361260887598507,0.38531729572791373
0.25469798657718123,0.9299046038987971,0.3330568228950643
0.25906040268456376,0.922438822065533,0.28369970966403985
0.2634228187919463,0.9141435089174617,0.24139361260887598
0.2677852348993289,0.9091663210286188,0.18664454583160514
0.2721476510067114,0.9025300705101618,0.1497304023226877
0.276510067114094,0.8996267109083368,0.12650352550808794
0.2808724832214765,0.8975528826213189,0.10327664869348818
0.28523489932885904,0.8929904603898797,0.08087930319369556
0.2895973154362416,0.8913313977602655,0.06387391124014932
0.2939597315436242,0.8909166321028619,0.04811281625881377
0.29832214765100673,0.8884280381584405,0.03484031522189963
0.30268456375838926,0.8871837411862298,0.022397345499792616
0.3070469798657718,0.885939444214019,0.009954375777685608
0.31140939597315437,0.885939444214019,0.005806719203649938
0.31577181208053695,0.8855246785566155,0.0033181252592285357
0.3201342281879195,0.8855246785566155,0.002073828287017835
0.324496644295302,0.8851099128992119,0.00041476565740356696
0.3288590604026846,0.8851099128992119,0.0
0.3332214765100671,0.8851099128992119,0.0
0.3375838926174497,0.8851099128992119,0.0
0.3419463087248322,0.8851099128992119,0.0
0.34630872483221475,0.8851099128992119,0.0
0.35067114093959734,0.8851099128992119,0.0
0.3550335570469799,0.8851099128992119,0.0
0.35939597315436245,0.8851099128992119,0.0
0.363758389261745,0.8851099128992119,0.0
0.3681208053691275,0.8851099128992119,0.0
0.3724832214765101,0.8851099128992119,0.0
0.37684563758389267,0.8851099128992119,0.0
0.3812080536912752,0.8851099128992119,0.0
0.3855704697986577,0.8851099128992119,0.0
0.38993288590604025,0.8851099128992119,0.0
0.39429530201342283,0.8851099128992119,0.0
0.3986577181208054,0.8851099128992119,0.0
0.40302013422818794,0.8851099128992119,0.0
0.40738255033557047,0.8851099128992119,0.0
0.411744966442953,0.8851099128992119,0.0
0.41610738255033564,0.8851099128992119,0.0
0.42046979865771816,0.8851099128992119,0.0
0.4248322147651007,0.8851099128992119,0.0
0.4291946308724832,0.8851099128992119,0.0
0.43355704697986575,0.8851099128992119,0.0
0.4379194630872484,0.8851099128992119,0.0
0.4422818791946309,0.8851099128992119,0.0
0.44664429530201344,0.8851099128992119,0.0
0.45100671140939597,0.8851099128992119,0.0
0.4553691275167786,0.8851099128992119,0.0
0.45973154362416113,0.8851099128992119,0.0
0.46409395973154366,0.8851099128992119,0.0
0.4684563758389262,0.8851099128992119,0.0
0.4728187919463087,0.8851099128992119,0.0
0.47718120805369135,0.8851099128992119,0.0
