human_fairness,human_acc,systemic,frank_fairness,frank_acc,rules_count,past_count,ok_count,no_count,xai_ok,xai_no,skept_count,agree_count,disagree_count
0.0,1.0,0,0.032158675819230986,0.7380694143167028,0,0,0,0,0,0,0,0,1
1.0,1.0,0,0.03108224955443012,0.737527114967462,0,0,0,0,0,0,0,1,1
1.0,1.0,0,0.03108224955443012,0.737527114967462,0,0,0,0,0,0,0,2,1
0.5,1.0,0,0.03108224955443012,0.737527114967462,0,0,0,0,0,0,0,3,1
0.6666666666666667,1.0,0,0.03108224955443012,0.737527114967462,0,0,0,0,0,0,0,4,1
0.6666666666666667,1.0,0,0.03108224955443012,0.737527114967462,0,0,0,0,0,0,0,5,1
0.6666666666666667,1.0,0,0.030005823289629252,0.7380694143167028,0,0,0,0,0,0,0,6,1
0.5,1.0,0,0.030005823289629252,0.7380694143167028,0,0,0,1,0,4,1,6,1
0.5,1.0,0,0.030005823289629252,0.7380694143167028,0,0,1,1,0,4,2,6,1
0.5,1.0,0,0.03108224955443012,0.7386117136659436,0,0,1,1,0,4,2,7,1
0.5,1.0,0,0.03108224955443012,0.7386117136659436,0,0,1,1,0,4,2,8,1
0.6,1.0,0,0.03108224955443012,0.7386117136659436,0,0,1,1,0,4,2,9,1
0.475,0.9230769230769231,0,0.03108224955443012,0.7386117136659436,0,0,2,1,0,4,3,9,1
0.375,0.9285714285714286,0,0.03108224955443012,0.7386117136659436,0,0,2,1,0,4,3,10,1
0.3035714285714286,0.9333333333333333,0,0.030005823289629252,0.7380694143167028,0,0,2,1,0,4,3,11,1
0.2063492063492064,0.9375,0,0.030005823289629252,0.7380694143167028,0,0,2,1,0,4,3,12,1
0.2777777777777778,0.8823529411764706,0,0.030005823289629252,0.7380694143167028,0,0,3,1,0,4,4,12,1
0.33333333333333337,0.8888888888888888,0,0.030005823289629252,0.7380694143167028,0,0,3,1,0,4,4,13,1
0.37777777777777777,0.8947368421052632,0,0.030005823289629252,0.7380694143167028,0,0,3,1,0,4,4,14,1
0.29999999999999993,0.9,0,0.03108224955443012,0.737527114967462,0,0,3,1,0,4,4,15,1
0.3363636363636363,0.9047619047619048,0,0.03217514572929353,0.7380694143167028,0,0,3,2,0,8,5,15,1
0.36363636363636365,0.9090909090909091,0,0.03217514572929353,0.7380694143167028,0,0,3,2,0,8,5,16,1
0.3106060606060606,0.9130434782608695,0,0.03217514572929353,0.7380694143167028,0,0,3,2,0,8,5,17,1
0.3333333333333333,0.9166666666666666,0,0.03217514572929353,0.7380694143167028,0,0,3,2,0,8,5,18,1
0.3525641025641026,0.92,0,0.03217514572929353,0.7380694143167028,0,0,3,2,0,8,5,19,1
0.38461538461538464,0.9230769230769231,0,0.03217514572929353,0.7380694143167028,0,0,3,2,0,8,5,20,1
0.3406593406593407,0.9259259259259259,0,0.03217514572929353,0.7380694143167028,0,0,3,3,0,12,6,20,1
0.28571428571428575,0.9285714285714286,0,0.03217514572929353,0.7380694143167028,0,0,3,3,0,12,6,21,1
0.23809523809523808,0.9310344827586207,0,0.03217514572929353,0.7380694143167028,0,0,3,3,0,12,6,22,1
0.19999999999999996,0.9333333333333333,0,0.0332515719940944,0.7386117136659436,0,0,3,3,0,12,6,23,1
0.16666666666666663,0.9354838709677419,0,0.0332515719940944,0.7386117136659436,0,0,3,3,0,12,6,23,2
0.125,0.9375,0,0.0332515719940944,0.7386117136659436,0,0,3,3,0,12,6,24,2
0.15441176470588236,0.9393939393939394,0,0.0332515719940944,0.7386117136659436,0,0,3,3,0,12,6,25,2
0.18055555555555558,0.9411764705882353,0,0.0332515719940944,0.7386117136659436,0,0,3,3,0,12,6,26,2
0.20394736842105265,0.9428571428571428,0,0.0332515719940944,0.7386117136659436,0,0,3,3,0,12,6,27,2
0.16718266253869973,0.9444444444444444,0,0.03217514572929353,0.7380694143167028,0,0,3,3,0,12,6,28,2
0.18823529411764706,0.9459459459459459,0,0.03217514572929353,0.7380694143167028,0,0,3,3,0,12,6,29,2
0.15966386554621853,0.9473684210526315,0,0.031098719464492663,0.7386117136659436,0,0,3,3,0,12,6,30,2
0.1825396825396826,0.9487179487179487,0,0.031098719464492663,0.7386117136659436,0,0,3,3,0,12,6,31,2
0.1503759398496241,0.925,0,0.031098719464492663,0.7386117136659436,0,0,3,3,0,12,6,32,2
0.17142857142857143,0.926829268292683,0,0.031098719464492663,0.7386117136659436,0,0,3,3,0,12,6,33,2
