human_fairness,human_acc,systemic,frank_fairness,frank_acc,rules_count,past_count,ok_count,no_count,xai_ok,xai_no,skept_count,agree_count,disagree_count
0.0,1.0,0,0.013799431788102834,0.7196312364425163,0,0,0,0,0,0,0,0,1
1.0,1.0,0,0.013799431788102834,0.7196312364425163,0,0,0,0,0,0,0,1,1
1.0,1.0,0,0.013799431788102834,0.7196312364425163,0,0,0,0,0,0,0,2,1
0.5,1.0,0,0.014875858052903701,0.7190889370932755,0,0,0,0,0,0,0,3,1
0.6666666666666667,1.0,0,0.014875858052903701,0.7190889370932755,0,0,0,0,0,0,0,4,1
0.6666666666666667,1.0,0,0.014875858052903701,0.7190889370932755,0,0,0,0,0,0,0,5,1
0.6666666666666667,1.0,0,0.014875858052903701,0.7190889370932755,0,0,0,0,0,0,0,6,1
0.75,0.875,0,0.014875858052903701,0.7190889370932755,0,0,1,0,0,0,1,6,1
0.55,0.7777777777777778,0,0.014875858052903701,0.7190889370932755,0,0,2,0,0,0,2,6,1
0.5833333333333334,0.8,0,0.014875858052903701,0.7190889370932755,0,0,2,0,0,0,2,7,1
0.6071428571428571,0.8181818181818182,0,0.014875858052903701,0.7190889370932755,0,0,2,0,0,0,2,8,1
0.657142857142857,0.8333333333333334,0,0.014875858052903701,0.7190889370932755,0,0,2,0,0,0,2,9,1
0.55,0.7692307692307693,0,0.014875858052903701,0.7190889370932755,0,0,3,0,0,0,3,9,1
0.4166666666666667,0.7857142857142857,0,0.014875858052903701,0.7190889370932755,0,0,3,0,0,0,3,10,1
0.32142857142857145,0.8,0,0.013799431788102834,0.7196312364425163,0,0,3,0,0,0,3,11,1
0.23809523809523808,0.8125,0,0.013799431788102834,0.7196312364425163,0,0,3,0,0,0,3,12,1
0.29166666666666663,0.7647058823529411,0,0.013799431788102834,0.7196312364425163,0,0,4,0,0,0,4,12,1
0.3333333333333333,0.7777777777777778,0,0.013799431788102834,0.7196312364425163,0,0,4,0,0,0,4,13,1
0.36666666666666664,0.7894736842105263,0,0.013799431788102834,0.7196312364425163,0,0,4,0,0,0,4,14,1
0.3,0.8,0,0.014875858052903701,0.7190889370932755,0,0,4,0,0,0,4,15,1
