human_fairness,human_acc,systemic,frank_fairness,frank_acc,rules_count,past_count,ok_count,no_count,xai_ok,xai_no,skept_count,agree_count,disagree_count
0.0,0.0,0,0.004144535225020118,0.7071583514099783,0,0,0,1,2,2,1,0,0
0.0,0.5,0,0.004144535225020118,0.7071583514099783,0,0,1,1,2,2,2,0,0
0.0,0.6666666666666666,0,0.004144535225020118,0.7071583514099783,0,0,1,1,2,2,2,1,0
0.3333333333333333,0.75,0,0.00523743139988353,0.7066160520607375,0,0,1,1,2,2,2,2,0
0.25,0.6,0,0.00523743139988353,0.7066160520607375,0,0,2,1,2,2,3,2,0
0.4,0.6666666666666666,0,0.00523743139988353,0.7066160520607375,0,0,3,1,2,2,4,2,0
0.5,0.5714285714285714,0,0.007423223749610297,0.7066160520607375,0,0,3,2,2,6,5,2,0
0.42857142857142855,0.625,0,0.007423223749610297,0.7066160520607375,0,0,3,2,2,6,5,3,0
-0.07142857142857145,0.6666666666666666,0,0.007423223749610297,0.7066160520607375,0,0,3,3,2,10,6,3,0
-0.23809523809523808,0.6,0,0.007423223749610297,0.7066160520607375,0,0,3,4,2,14,7,3,0
-0.32142857142857145,0.6363636363636364,0,0.008516119924473708,0.7071583514099783,0,0,4,4,2,14,8,3,0
-0.375,0.5833333333333334,0,0.008516119924473708,0.7071583514099783,0,0,4,4,2,14,8,4,0
-0.22499999999999998,0.6153846153846154,0,0.008516119924473708,0.7071583514099783,0,0,4,4,2,14,8,5,0
-0.29166666666666663,0.5714285714285714,0,0.008516119924473708,0.7071583514099783,0,0,4,5,2,18,9,5,0
-0.3392857142857143,0.6,0,0.008516119924473708,0.7071583514099783,0,0,4,5,2,18,9,6,0
-0.2698412698412699,0.625,0,0.012887704623927243,0.710412147505423,0,0,4,5,2,18,9,7,0
-0.2142857142857143,0.6470588235294118,0,0.012887704623927243,0.710412147505423,0,0,4,5,2,18,9,8,0
-0.125,0.6666666666666666,0,0.012887704623927243,0.710412147505423,0,0,5,5,2,18,10,8,0
-0.17045454545454547,0.631578947368421,0,0.012887704623927243,0.710412147505423,0,0,6,5,2,18,11,8,0
-0.10101010101010105,0.65,0,0.012887704623927243,0.710412147505423,0,0,6,5,2,18,11,9,0
-0.04545454545454547,0.6666666666666666,0,0.012887704623927243,0.710412147505423,0,0,6,5,2,18,11,10,0
0.0,0.6818181818181818,0,0.012887704623927243,0.710412147505423,0,0,6,5,2,18,11,11,0
0.037878787878787845,0.6956521739130435,0,0.012887704623927243,0.710412147505423,0,0,6,5,2,18,11,12,0
0.08333333333333331,0.7083333333333334,0,0.016199332968642455,0.7109544468546638,0,0,6,6,4,20,12,12,0
0.12179487179487175,0.68,0,0.016199332968642455,0.7109544468546638,0,0,6,6,4,20,12,13,0
0.1547619047619047,0.6923076923076923,0,0.016199332968642455,0.7109544468546638,0,0,6,6,4,20,12,14,0
0.18681318681318676,0.6666666666666666,0,0.016199332968642455,0.7109544468546638,0,0,7,6,4,20,13,14,0
0.1487179487179487,0.6428571428571429,0,0.016199332968642455,0.7109544468546638,0,0,7,6,4,20,13,15,0
0.11538461538461536,0.6551724137931034,0,0.016199332968642455,0.7109544468546638,0,0,7,6,4,20,13,16,0
0.07142857142857145,0.6666666666666666,0,0.016199332968642455,0.7109544468546638,0,0,7,6,4,20,13,17,0
0.033333333333333326,0.6774193548387096,0,0.016199332968642455,0.7109544468546638,0,0,7,6,4,20,13,18,0
0.0039215686274509665,0.65625,0,0.014013540618915687,0.7120390455531453,0,0,8,6,4,20,14,18,0
-0.022222222222222254,0.6666666666666666,0,0.014013540618915687,0.7120390455531453,0,0,8,6,4,20,14,19,0
-0.04561403508771933,0.6764705882352942,0,0.014013540618915687,0.7120390455531453,0,0,8,6,4,20,14,20,0
-0.016447368421052655,0.6857142857142857,0,0.01826983594793158,0.7109544468546638,0,0,8,6,4,20,14,21,0
-0.049535603715170295,0.6944444444444444,0,0.019362732122794934,0.710412147505423,0,0,8,6,4,20,14,21,1
-0.02058823529411763,0.6756756756756757,0,0.019362732122794934,0.710412147505423,0,0,8,7,6,22,15,21,1
-0.04999999999999999,0.6578947368421053,0,0.019362732122794934,0.710412147505423,0,0,8,8,6,26,16,21,1
-0.07142857142857145,0.6666666666666666,0,0.019362732122794934,0.710412147505423,0,0,9,8,6,26,17,21,1
-0.045112781954887216,0.675,0,0.019362732122794934,0.710412147505423,0,0,9,8,6,26,17,22,1
-0.06459330143540665,0.6829268292682927,0,0.019362732122794934,0.710412147505423,0,0,9,8,6,26,17,23,1
-0.040909090909090895,0.6904761904761905,0,0.019362732122794934,0.710412147505423,0,0,9,8,6,26,17,24,1
-0.05869565217391304,0.6744186046511628,0,0.019362732122794934,0.710412147505423,0,0,9,9,6,30,18,24,1
-0.07500000000000001,0.6590909090909091,0,0.019362732122794934,0.710412147505423,0,0,9,10,8,32,19,24,1
-0.09000000000000002,0.6444444444444445,0,0.019362732122794934,0.710412147505423,0,0,10,10,8,32,20,24,1
-0.06538461538461537,0.6521739130434783,0,0.011712458898751221,0.7098698481561823,0,0,10,10,8,32,20,25,1
-0.07962962962962966,0.6382978723404256,0,0.010586622903762777,0.7082429501084598,0,0,10,11,8,36,21,25,1
-0.09285714285714286,0.625,0,0.010586622903762777,0.7082429501084598,0,0,10,11,8,36,21,26,1
-0.10517241379310344,0.6122448979591837,0,0.010586622903762777,0.7082429501084598,0,0,10,11,8,36,21,27,1
-0.08374384236453197,0.62,0,0.009510196638961965,0.7077006507592191,0,0,10,11,8,36,21,28,1
-0.06190476190476191,0.6274509803921569,0,0.009510196638961965,0.7077006507592191,0,0,10,12,8,40,22,28,1
-0.04147465437788017,0.6153846153846154,0,0.00737381401942272,0.7087852494577006,0,0,10,12,8,40,22,29,1
-0.02199413489736074,0.6226415094339622,0,0.008351420823848432,0.7082429501084598,0,0,11,12,8,40,23,29,1
-0.047685834502103785,0.6296296296296297,0,0.008351420823848432,0.7082429501084598,0,0,11,12,8,40,23,30,1
-0.02956989247311831,0.6363636363636364,0,0.009394907268524266,0.7087852494577006,0,0,11,12,8,40,23,30,2
-0.052903225806451626,0.6428571428571429,0,0.009394907268524266,0.7087852494577006,0,0,11,12,8,40,23,31,2
-0.03375,0.631578947368421,0,0.009394907268524266,0.7087852494577006,0,0,12,12,8,40,24,31,2
-0.055288461538461564,0.6379310344827587,0,0.012624186062926868,0.7060737527114967,0,0,12,12,8,40,24,32,2
-0.03729603729603731,0.6440677966101694,0,0.01805572711711867,0.7077006507592191,0,0,12,12,8,40,24,32,3
-0.020202020202020166,0.65,0,0.020241519466845492,0.7066160520607375,0,0,12,12,8,40,24,33,3
-0.0032679738562091387,0.639344262295082,0,0.020241519466845492,0.7066160520607375,0,0,12,13,8,44,25,33,3
0.012698412698412709,0.6451612903225806,0,0.020241519466845492,0.7066160520607375,0,0,12,13,8,44,25,34,3
0.02857142857142858,0.6507936507936508,0,0.020241519466845492,0.7066160520607375,0,0,13,13,8,44,26,34,3
0.04365079365079366,0.65625,0,0.020241519466845492,0.7066160520607375,0,0,13,13,8,44,26,35,3
0.023946360153256685,0.6461538461538462,0,0.020241519466845492,0.7066160520607375,0,0,14,13,8,44,27,35,3
0.03888888888888886,0.6515151515151515,0,0.020241519466845492,0.7066160520607375,0,0,14,13,8,44,27,36,3
0.052867383512544774,0.6567164179104478,0,0.020241519466845492,0.7066160520607375,0,0,14,13,8,44,27,37,3
0.06597222222222221,0.6617647058823529,0,0.01805572711711867,0.7077006507592191,0,0,14,13,8,44,27,38,3
0.053209459459459485,0.6666666666666666,0,0.01805572711711867,0.7077006507592191,0,0,15,13,8,44,28,38,3
0.03521703521703523,0.6714285714285714,0,0.01704518049256798,0.710412147505423,0,0,15,13,8,44,28,39,3
0.018282988871224204,0.6619718309859155,0,0.01704518049256798,0.710412147505423,0,0,15,14,8,48,29,39,3
0.006191950464396301,0.6666666666666666,0,0.01704518049256798,0.710412147505423,0,0,15,14,8,48,29,40,3
-0.009774436090225547,0.6575342465753424,0,0.01704518049256798,0.710412147505423,0,0,15,15,8,52,30,40,3
0.002923976608187162,0.6486486486486487,1,0.015952284317704568,0.7098698481561823,0,0,15,16,9,55,31,40,3
-0.008547008547008517,0.6533333333333333,1,0.015952284317704568,0.7098698481561823,0,0,15,16,9,55,31,41,3
0.0034650034650034467,0.6447368421052632,1,0.008417300464098554,0.7082429501084598,0,0,15,17,9,59,32,41,3
0.017567567567567555,0.6363636363636364,1,0.009510196638961965,0.7077006507592191,0,0,15,18,11,61,33,41,3
0.03098220171390903,0.6410256410256411,1,0.009510196638961965,0.7077006507592191,0,0,15,19,11,65,34,41,3
