tau_r,team_accuracy,deferral_rate
0.2,0.9966914805624483,0.9425144747725392
0.20402684563758391,0.9958643507030603,0.923904052936311
0.2080536912751678,0.9954507857733664,0.902398676592225
0.2120805369127517,0.9942100909842845,0.8771712158808933
0.21610738255033557,0.9913151364764268,0.8490488006617039
0.22013422818791947,0.9896608767576509,0.825889164598842
0.22416107382550338,0.9867659222497932,0.7948717948717948
0.22818791946308725,0.9834574028122415,0.7655086848635235
0.23221476510067116,0.97808105872622,0.7311827956989247
0.23624161073825506,0.9747725392886684,0.6923076923076923
0.24026845637583893,0.9702233250620348,0.652191894127378
0.24429530201342284,0.9636062861869313,0.6058726220016543
0.24832214765100674,0.956989247311828,0.5516956162117452
0.2523489932885906,0.9520264681555004,0.4904880066170389
0.2563758389261745,0.9437551695616212,0.423904052936311
0.2604026845637584,0.9338296112489661,0.36600496277915634
0.2644295302013423,0.923904052936311,0.304383788254756
0.2684563758389262,0.9177005789909015,0.26095947063689
0.27248322147651005,0.9102564102564102,0.20430107526881722
0.276510067114094,0.9036393713813069,0.15798180314309346
0.28053691275167786,0.8970223325062034,0.11703887510339123
0.28456375838926173,0.8928866832092639,0.09387923904052936
0.28859060402684567,0.890818858560794,0.06989247311827956
0.29261744966442954,0.8887510339123242,0.05086848635235732
0.2966442953020134,0.8875103391232424,0.033498759305210915
0.30067114093959735,0.8866832092638545,0.01943755169561621
0.3046979865771812,0.8866832092638545,0.01033912324234905
0.3087248322147651,0.8862696443341604,0.0033085194375516956
0.31275167785234903,0.8862696443341604,0.0020678246484698098
0.3167785234899329,0.8862696443341604,0.0008271298593879239
0.3208053691275168,0.8862696443341604,0.0
0.3248322147651007,0.8862696443341604,0.0
0.3288590604026846,0.8862696443341604,0.0
0.33288590604026846,0.8862696443341604,0.0
0.3369127516778524,0.8862696443341604,0.0
0.34093959731543627,0.8862696443341604,0.0
0.34496644295302015,0.8862696443341604,0.0
0.3489932885906041,0.8862696443341604,0.0
0.35302013422818795,0.8862696443341604,0.0
0.35704697986577183,0.8862696443341604,0.0
0.36107382550335576,0.8862696443341604,0.0
0.36510067114093964,0.8862696443341604,0.0
0.3691275167785235,0.8862696443341604,0.0
0.37315436241610744,0.8862696443341604,0.0
0.3771812080536913,0.8862696443341604,0.0
0.3812080536912752,0.8862696443341604,0.0
0.3852348993288591,0.8862696443341604,0.0
0.38926174496644295,0.8862696443341604,0.0
0.3932885906040269,0.8862696443341604,0.0
0.3973154362416108,0.8862696443341604,0.0
0.40134228187919463,0.8862696443341604,0.0
0.40536912751677856,0.8862696443341604,0.0
0.40939597315436244,0.8862696443341604,0.0
0.4134228187919463,0.8862696443341604,0.0
0.41744966442953024,0.8862696443341604,0.0
0.4214765100671141,0.8862696443341604,0.0
0.425503355704698,0.8862696443341604,0.0
0.4295302013422819,0.8862696443341604,0.0
0.4335570469798658,0.8862696443341604,0.0
0.4375838926174497,0.8862696443341604,0.0
0.4416107382550336,0.8862696443341604,0.0
0.4456375838926175,0.8862696443341604,0.0
0.44966442953020136,0.8862696443341604,0.0
0.4536912751677853,0.8862696443341604,0.0
0.45771812080536917,0.8862696443341604,0.0
0.46174496644295304,0.8862696443341604,0.0
0.465771812080537,0.8862696443341604,0.0
0.46979865771812085,0.8862696443341604,0.0
0.4738255033557047,0.8862696443341604,0.0
0.47785234899328866,0.8862696443341604,0.0
0.48187919463087253,0.8862696443341604,0.0
0.4859060402684564,0.8862696443341604,0.0
0.4899328859060403,0.8862696443341604,0.0
0.4939597315436242,0.8862696443341604,0.0
0.4979865771812081,0.8862696443341604,0.0
0.502013422818792,0.8862696443341604,0.0
0.5060402684563758,0.8862696443341604,0.0
0.5100671140939598,0.8862696443341604,0.0
0.5140939597315437,0.8862696443341604,0.0
0.5181208053691275,0.8862696443341604,0.0
0.5221476510067115,0.8862696443341604,0.0
0.5261744966442954,0.8862696443341604,0.0
0.5302013422818792,0.8862696443341604,0.0
