2026-03-30 01:34:22,584 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:34:22,586 | INFO | Starting fit.epoch
2026-03-30 01:34:22,719 | INFO | Updated scheduler for learning rate, epoch 2, lr=0.001
2026-03-30 01:34:22,721 | INFO | Starting fit.epoch
2026-03-30 01:34:22,808 | INFO | Updated scheduler for learning rate, epoch 3, lr=0.001
2026-03-30 01:34:22,808 | INFO | Starting fit.epoch
2026-03-30 01:34:22,884 | INFO | Updated scheduler for learning rate, epoch 4, lr=0.001
2026-03-30 01:34:22,886 | INFO | Starting fit.epoch
2026-03-30 01:34:23,025 | INFO | Validation metrics at epoch 5: {'classifier_all_acc': 0.5918744228993537, 'human_all_acc': 0.9445983379501385, 'coverage': np.float64(0.0027700831024930483), 'classifier_nondeferred_acc': 0.3333333333333333, 'human_deferred_acc': 0.9444444444444444, 'system_acc': 0.9427516158818098}
2026-03-30 01:34:23,025 | INFO | Updated scheduler for learning rate, epoch 5, lr=0.001
2026-03-30 01:34:23,027 | INFO | Starting fit.epoch
2026-03-30 01:34:23,112 | INFO | Updated scheduler for learning rate, epoch 6, lr=0.001
2026-03-30 01:34:23,112 | INFO | Starting fit.epoch
2026-03-30 01:34:23,186 | INFO | Updated scheduler for learning rate, epoch 7, lr=0.001
2026-03-30 01:34:23,188 | INFO | Starting fit.epoch
2026-03-30 01:34:23,282 | INFO | Updated scheduler for learning rate, epoch 8, lr=0.001
2026-03-30 01:34:23,282 | INFO | Starting fit.epoch
2026-03-30 01:34:23,371 | INFO | Updated scheduler for learning rate, epoch 9, lr=0.0008
2026-03-30 01:34:23,373 | INFO | Starting fit.epoch
2026-03-30 01:34:23,509 | INFO | Validation metrics at epoch 10: {'classifier_all_acc': 0.5918744228993537, 'human_all_acc': 0.9445983379501385, 'coverage': np.float64(0.0009233610341643494), 'classifier_nondeferred_acc': 1.0, 'human_deferred_acc': 0.944547134935305, 'system_acc': 0.9445983379501385}
2026-03-30 01:34:23,509 | INFO | Updated scheduler for learning rate, epoch 10, lr=0.0008
2026-03-30 01:34:23,509 | INFO | Starting fit.epoch
2026-03-30 01:34:23,589 | INFO | Updated scheduler for learning rate, epoch 11, lr=0.0008
2026-03-30 01:34:23,591 | INFO | Starting fit.epoch
2026-03-30 01:34:23,682 | INFO | Updated scheduler for learning rate, epoch 12, lr=0.0008
2026-03-30 01:34:23,682 | INFO | Starting fit.epoch
2026-03-30 01:34:23,771 | INFO | Updated scheduler for learning rate, epoch 13, lr=0.0008
2026-03-30 01:34:23,773 | INFO | Starting fit.epoch
2026-03-30 01:34:23,861 | INFO | Updated scheduler for learning rate, epoch 14, lr=0.0008
2026-03-30 01:34:23,861 | INFO | Starting fit.epoch
2026-03-30 01:36:32,957 | INFO | Starting .fit method
2026-03-30 01:36:32,960 | INFO | Starting fit.epoch
2026-03-30 01:36:33,074 | INFO | Updated scheduler for learning rate, epoch 0, lr=0.001
2026-03-30 01:36:33,075 | INFO | Starting fit.epoch
2026-03-30 01:36:33,184 | INFO | Updated scheduler for learning rate, epoch 1, lr=0.001
2026-03-30 01:36:33,186 | INFO | Starting fit.epoch
2026-03-30 01:36:33,278 | INFO | Updated scheduler for learning rate, epoch 2, lr=0.001
2026-03-30 01:36:33,279 | INFO | Starting fit.epoch
2026-03-30 01:36:33,395 | INFO | Updated scheduler for learning rate, epoch 3, lr=0.001
2026-03-30 01:36:33,397 | INFO | Starting fit.epoch
2026-03-30 01:36:33,507 | INFO | Updated scheduler for learning rate, epoch 4, lr=0.001
2026-03-30 01:36:33,509 | INFO | Starting fit.epoch
2026-03-30 01:36:33,640 | INFO | Validation metrics at epoch 5: {'classifier_all_acc': 0.5918744228993537, 'human_all_acc': 0.9445983379501385, 'coverage': np.float64(0.0009233610341643494), 'classifier_nondeferred_acc': 1.0, 'human_deferred_acc': 0.944547134935305, 'system_acc': 0.9445983379501385}
2026-03-30 01:36:33,640 | INFO | Updated scheduler for learning rate, epoch 5, lr=0.001
2026-03-30 01:36:33,642 | INFO | Starting fit.epoch
2026-03-30 01:36:33,729 | INFO | Updated scheduler for learning rate, epoch 6, lr=0.001
2026-03-30 01:36:33,730 | INFO | Starting fit.epoch
2026-03-30 01:36:33,806 | INFO | Updated scheduler for learning rate, epoch 7, lr=0.001
2026-03-30 01:36:33,808 | INFO | Starting fit.epoch
2026-03-30 01:36:33,909 | INFO | Updated scheduler for learning rate, epoch 8, lr=0.001
2026-03-30 01:36:33,911 | INFO | Starting fit.epoch
2026-03-30 01:36:33,999 | INFO | Updated scheduler for learning rate, epoch 9, lr=0.0008
2026-03-30 01:36:33,999 | INFO | Starting fit.epoch
